InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
I536006,F035,NECTARINES,17,9/21/2024 0:00,3.56,12070,Brazil,0.02,Local Payment,5.94,Stone Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F005,PAPAYA (RED),26,9/21/2024 0:00,5,12070,Brazil,0,Local Payment,5,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F007,STAR FRUIT,64,9/21/2024 0:00,4.03,12070,Brazil,0.1,Local Payment,7,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F008,DRAGON FRUIT,50,9/21/2024 0:00,3.94,12070,Brazil,0.04,Local Payment,4.63,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F005,PAPAYA (RED),44,9/21/2024 0:00,4.9,12070,Brazil,0.03,Local Payment,4.78,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F010,GUAVA (PINK),36,9/21/2024 0:00,5.77,12070,Brazil,0.04,Local Payment,3.78,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F038,ALMONDS (GREEN),26,9/21/2024 0:00,2.36,12070,Brazil,0.03,Local Payment,4.9,Stone Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F021,STRAWBERRIES (1LB),50,9/21/2024 0:00,6.02,12070,Brazil,0.01,Local Payment,5.49,Berries,Online,,Correios BR,SA1 (Brazil),Low
I536006,F015,TANGERINE (HONEY),29,9/21/2024 0:00,1.19,12070,Brazil,0,Local Payment,3.24,Citrus,Online,,Correios BR,SA1 (Brazil),Low
I536006,F004,COCONUT (YOUNG),60,9/21/2024 0:00,6.43,12070,Brazil,0.03,Local Payment,8.91,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F002,PINEAPPLE (HAWAIIAN),50,9/21/2024 0:00,4.16,12070,Brazil,0.04,Local Payment,5.6,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F006,KIWI (GREEN),64,9/21/2024 0:00,4.52,12070,Brazil,0.02,Local Payment,4.81,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F004,COCONUT (YOUNG),25,9/21/2024 0:00,6.15,12070,Brazil,0.02,Local Payment,6.9,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F002,PINEAPPLE (HAWAIIAN),56,9/21/2024 0:00,5.37,12070,Brazil,0.03,Local Payment,6.32,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F013,LIME (KEY),23,9/21/2024 0:00,3.25,12070,Brazil,0.04,Local Payment,3.89,Citrus,Online,,Correios BR,SA1 (Brazil),Low
I536006,F004,COCONUT (YOUNG),63,9/21/2024 0:00,5.94,12070,Brazil,0.01,Local Payment,9.8,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F005,PAPAYA (RED),62,9/21/2024 0:00,3.62,12070,Brazil,0.02,Local Payment,11.77,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F015,TANGERINE (HONEY),26,9/21/2024 0:00,1.61,12070,Brazil,0.04,Local Payment,3.75,Citrus,Online,,Correios BR,SA1 (Brazil),Low
I536006,F008,DRAGON FRUIT,25,9/21/2024 0:00,6.57,12070,Brazil,0.01,Local Payment,6.55,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F003,MANGO (ALPHONSO),41,9/21/2024 0:00,7.3,12070,Brazil,0.03,Local Payment,9.37,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F008,DRAGON FRUIT,65,9/21/2024 0:00,5.68,12070,Brazil,0.01,Local Payment,9.22,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F003,MANGO (ALPHONSO),31,9/21/2024 0:00,3.84,12070,Brazil,0.05,Local Payment,5.1,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F004,COCONUT (YOUNG),41,9/21/2024 0:00,4.73,12070,Brazil,0.03,Local Payment,7.35,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F014,GRAPEFRUIT (RUBY RED),1,9/21/2024 0:00,0.82,12070,Brazil,0.1,Local Payment,282.75,Citrus,Online,,Correios BR,SA1 (Brazil),Low
I536006,F002,PINEAPPLE (HAWAIIAN),38,9/21/2024 0:00,3.06,12070,Brazil,0.05,Local Payment,6.45,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F002,PINEAPPLE (HAWAIIAN),60,9/21/2024 0:00,5.7,12070,Brazil,0,Local Payment,10.96,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F008,DRAGON FRUIT,39,9/21/2024 0:00,4.84,12070,Brazil,0.03,Local Payment,4.55,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F007,STAR FRUIT,80,9/21/2024 0:00,2.55,12070,Brazil,0.05,Local Payment,8.46,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F002,PINEAPPLE (HAWAIIAN),35,9/21/2024 0:00,6.89,12070,Brazil,0.05,Local Payment,6.32,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F007,STAR FRUIT,48,9/21/2024 0:00,7.31,12070,Brazil,0.04,Local Payment,5.55,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F008,DRAGON FRUIT,43,9/21/2024 0:00,7.12,12070,Brazil,0.01,Local Payment,8.26,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F009,PASSION FRUIT,59,9/21/2024 0:00,6.3,12070,Brazil,0.01,Local Payment,11.45,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F008,DRAGON FRUIT,55,9/21/2024 0:00,5.76,12070,Brazil,0.03,Local Payment,8.31,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F004,COCONUT (YOUNG),63,9/21/2024 0:00,7.83,12070,Brazil,0.03,Local Payment,4.93,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F019,KUMQUAT,32,9/21/2024 0:00,2.13,12070,Brazil,0.02,Local Payment,2.16,Citrus,Online,,Correios BR,SA1 (Brazil),Low
I536006,F001,BANANA (ORGANIC),43,9/21/2024 0:00,4.29,12070,Brazil,0.05,Local Payment,3.13,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F021,STRAWBERRIES (1LB),66,9/21/2024 0:00,8.43,12070,Brazil,0.04,Local Payment,5.79,Berries,Online,,Correios BR,SA1 (Brazil),Low
I536006,F005,PAPAYA (RED),76,9/21/2024 0:00,4.59,12070,Brazil,0.05,Local Payment,10.77,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F007,STAR FRUIT,79,9/21/2024 0:00,2.89,12070,Brazil,0.03,Local Payment,14.92,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F008,DRAGON FRUIT,65,9/21/2024 0:00,5.87,12070,Brazil,0.05,Local Payment,9.9,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F010,GUAVA (PINK),43,9/21/2024 0:00,4.2,12070,Brazil,0.03,Local Payment,9.82,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F003,MANGO (ALPHONSO),62,9/21/2024 0:00,3.42,12070,Brazil,0.02,Local Payment,10.69,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F005,PAPAYA (RED),38,9/21/2024 0:00,5.28,12070,Brazil,0.02,Local Payment,3.65,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F001,BANANA (ORGANIC),51,9/21/2024 0:00,5.16,12070,Brazil,0.05,Local Payment,6.3,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F012,LEMON (MEYER),17,9/21/2024 0:00,1.57,12070,Brazil,0.02,Local Payment,4.87,Citrus,Online,,Correios BR,SA1 (Brazil),Low
I536006,F002,PINEAPPLE (HAWAIIAN),84,9/21/2024 0:00,3.95,12070,Brazil,0.02,Local Payment,14.95,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F020,CEDRAT,1,9/21/2024 0:00,2.37,12070,Brazil,0.1,Local Payment,270.44,Citrus,Online,,Correios BR,SA1 (Brazil),Low
I536006,F028,CURRANTS (RED),60,9/21/2024 0:00,4.11,12070,Brazil,0.04,Local Payment,5.56,Berries,Online,,Correios BR,SA1 (Brazil),Low
I536006,F007,STAR FRUIT,39,9/21/2024 0:00,4.3,12070,Brazil,0.04,Local Payment,4.81,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F016,POMELO,41,9/21/2024 0:00,1.85,12070,Brazil,0.03,Local Payment,3.49,Citrus,Online,,Correios BR,SA1 (Brazil),Low
I536006,F038,ALMONDS (GREEN),1,9/21/2024 0:00,4.85,12070,Brazil,0.15,Local Payment,276.35,Stone Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F006,KIWI (GREEN),61,9/21/2024 0:00,5.28,12070,Brazil,0.04,Local Payment,13.09,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F009,PASSION FRUIT,54,9/21/2024 0:00,6.51,12070,Brazil,0.05,Local Payment,7.22,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F004,COCONUT (YOUNG),33,9/21/2024 0:00,5.66,12070,Brazil,0.03,Local Payment,4.79,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F004,COCONUT (YOUNG),73,9/21/2024 0:00,3.88,12070,Brazil,0.03,Local Payment,7.02,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F002,PINEAPPLE (HAWAIIAN),77,9/21/2024 0:00,3.04,12070,Brazil,0.04,Local Payment,10.73,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F010,GUAVA (PINK),38,9/21/2024 0:00,4.64,12070,Brazil,0.1,Local Payment,8.25,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F012,LEMON (MEYER),19,9/21/2024 0:00,2.58,12070,Brazil,0,Local Payment,4.36,Citrus,Online,,Correios BR,SA1 (Brazil),Low
I536006,F028,CURRANTS (RED),60,9/21/2024 0:00,5.3,12070,Brazil,0,Local Payment,5.17,Berries,Online,,Correios BR,SA1 (Brazil),Low
I536006,F009,PASSION FRUIT,48,9/21/2024 0:00,4.55,12070,Brazil,0.05,Local Payment,8.18,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F001,BANANA (ORGANIC),26,9/21/2024 0:00,7.57,12070,Brazil,0.04,Local Payment,3.6,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F004,COCONUT (YOUNG),73,9/21/2024 0:00,4.18,12070,Brazil,0,Local Payment,10.3,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F001,BANANA (ORGANIC),67,9/21/2024 0:00,4.34,12070,Brazil,0.03,Local Payment,4.88,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F008,DRAGON FRUIT,46,9/21/2024 0:00,4.43,12070,Brazil,0.04,Local Payment,4.66,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F004,COCONUT (YOUNG),32,9/21/2024 0:00,5.67,12070,Brazil,0.02,Local Payment,4.33,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F010,GUAVA (PINK),46,9/21/2024 0:00,6.37,12070,Brazil,0,Local Payment,4.83,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F034,CHERRIES (RAINIER),1,9/21/2024 0:00,3.8,12070,Brazil,0.15,Local Payment,304.59,Stone Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F005,PAPAYA (RED),77,9/21/2024 0:00,5.31,12070,Brazil,0.05,Local Payment,8.74,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F004,COCONUT (YOUNG),61,9/21/2024 0:00,5.33,12070,Brazil,0,Local Payment,6.19,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F004,COCONUT (YOUNG),63,9/21/2024 0:00,5.7,12070,Brazil,0.02,Local Payment,11.72,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F010,GUAVA (PINK),62,9/21/2024 0:00,3.41,12070,Brazil,0.05,Local Payment,12.07,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F004,COCONUT (YOUNG),56,9/21/2024 0:00,3.45,12070,Brazil,0.03,Local Payment,6.7,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F004,COCONUT (YOUNG),43,9/21/2024 0:00,6.33,12070,Brazil,0,Local Payment,8.52,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F005,PAPAYA (RED),41,9/21/2024 0:00,2.96,12070,Brazil,0.03,Local Payment,4.45,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F006,KIWI (GREEN),62,9/21/2024 0:00,6.37,12070,Brazil,0.04,Local Payment,3.96,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F009,PASSION FRUIT,86,9/21/2024 0:00,5.82,12070,Brazil,0.02,Local Payment,11.22,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F002,PINEAPPLE (HAWAIIAN),54,9/21/2024 0:00,6.77,12070,Brazil,0.02,Local Payment,11,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F001,BANANA (ORGANIC),35,9/21/2024 0:00,3.73,12070,Brazil,0.03,Local Payment,3.76,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F001,BANANA (ORGANIC),27,9/21/2024 0:00,7.69,12070,Brazil,0.05,Local Payment,6.98,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F009,PASSION FRUIT,30,9/21/2024 0:00,4.36,12070,Brazil,0.1,Local Payment,4.31,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F001,BANANA (ORGANIC),56,9/21/2024 0:00,5.21,12070,Brazil,0.02,Local Payment,8.94,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F009,PASSION FRUIT,69,9/21/2024 0:00,5.01,12070,Brazil,0.02,Local Payment,5.44,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F005,PAPAYA (RED),77,9/21/2024 0:00,5.92,12070,Brazil,0.02,Local Payment,5.22,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F010,GUAVA (PINK),54,9/21/2024 0:00,6.5,12070,Brazil,0.04,Local Payment,8.2,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F008,DRAGON FRUIT,38,9/21/2024 0:00,3.95,12070,Brazil,0.04,Local Payment,7.21,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F010,GUAVA (PINK),75,9/21/2024 0:00,2.68,12070,Brazil,0,Local Payment,7.39,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F008,DRAGON FRUIT,55,9/21/2024 0:00,6.73,12070,Brazil,0.03,Local Payment,8.87,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F002,PINEAPPLE (HAWAIIAN),26,9/21/2024 0:00,6.21,12070,Brazil,0,Local Payment,4.22,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F015,TANGERINE (HONEY),31,9/21/2024 0:00,2.61,12070,Brazil,0.04,Local Payment,2.46,Citrus,Online,,Correios BR,SA1 (Brazil),Low
I536006,F005,PAPAYA (RED),82,9/21/2024 0:00,4.86,12070,Brazil,0.02,Local Payment,4.31,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F005,PAPAYA (RED),72,9/21/2024 0:00,6.02,12070,Brazil,0.05,Local Payment,8.2,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F040,LOQUAT,27,9/21/2024 0:00,3.98,12070,Brazil,0.03,Local Payment,3.62,Stone Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F003,MANGO (ALPHONSO),52,9/21/2024 0:00,3.21,12070,Brazil,0.02,Local Payment,5.16,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F004,COCONUT (YOUNG),58,9/21/2024 0:00,5.28,12070,Brazil,0.1,Local Payment,12.1,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F002,PINEAPPLE (HAWAIIAN),47,9/21/2024 0:00,4.43,12070,Brazil,0.04,Local Payment,8.4,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F001,BANANA (ORGANIC),72,9/21/2024 0:00,3.3,12070,Brazil,0.03,Local Payment,13.74,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F004,COCONUT (YOUNG),46,9/21/2024 0:00,5.25,12070,Brazil,0.03,Local Payment,9,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F014,GRAPEFRUIT (RUBY RED),13,9/21/2024 0:00,3.47,12070,Brazil,0,Local Payment,7.02,Citrus,Online,,Correios BR,SA1 (Brazil),Low
I536006,F002,PINEAPPLE (HAWAIIAN),45,9/21/2024 0:00,5.79,12070,Brazil,0.03,Local Payment,6.22,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F007,STAR FRUIT,47,9/21/2024 0:00,5.08,12070,Brazil,0.04,Local Payment,3.78,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F010,GUAVA (PINK),37,9/21/2024 0:00,6.98,12070,Brazil,0.04,Local Payment,9.47,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F004,COCONUT (YOUNG),59,9/21/2024 0:00,5.26,12070,Brazil,0.04,Local Payment,12.48,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F020,CEDRAT,9,9/21/2024 0:00,2.53,12070,Brazil,0.01,Local Payment,11.71,Citrus,Online,,Correios BR,SA1 (Brazil),Low
I536006,F011,ORANGE (VALENCIA),14,9/21/2024 0:00,2.7,12070,Brazil,0.03,Local Payment,6.36,Citrus,Online,,Correios BR,SA1 (Brazil),Low
I536006,F006,KIWI (GREEN),83,9/21/2024 0:00,3.36,12070,Brazil,0.04,Local Payment,5.12,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F028,CURRANTS (RED),67,9/21/2024 0:00,8.33,12070,Brazil,0.05,Local Payment,5.75,Berries,Online,,Correios BR,SA1 (Brazil),Low
I536006,F022,BLUEBERRIES (PINT),72,9/21/2024 0:00,5.15,12070,Brazil,0.05,Local Payment,5.63,Berries,Online,,Correios BR,SA1 (Brazil),Low
I536006,F009,PASSION FRUIT,29,9/21/2024 0:00,4.44,12070,Brazil,0.05,Local Payment,5.9,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,V044,CUCUMBERS (PERSIAN),24,9/21/2024 0:00,3.91,12070,Brazil,0.04,Local Payment,3.9,Vegetables,Online,,Correios BR,SA1 (Brazil),Low
I536006,F002,PINEAPPLE (HAWAIIAN),63,9/21/2024 0:00,4.14,12070,Brazil,0.03,Local Payment,9.02,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,F008,DRAGON FRUIT,37,9/21/2024 0:00,5.59,12070,Brazil,0.05,Local Payment,5.92,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536006,V047,ONIONS (YELLOW),15,9/21/2024 0:00,3.65,12070,Brazil,0.02,Local Payment,6.01,Vegetables,Online,,Correios BR,SA1 (Brazil),Low
I536006,F001,BANANA (ORGANIC),43,9/21/2024 0:00,3.77,12070,Brazil,0.02,Local Payment,6.68,Tropical Fruit,Online,,Correios BR,SA1 (Brazil),Low
I536007,F006,KIWI (GREEN),53,9/14/2024 0:00,5.58,12847,Brazil,0.01,Local Payment,5.51,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F005,PAPAYA (RED),64,9/14/2024 0:00,2.71,12847,Brazil,0.03,Local Payment,6.76,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F007,STAR FRUIT,48,9/14/2024 0:00,3.43,12847,Brazil,0.04,Local Payment,8.04,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F008,DRAGON FRUIT,43,9/14/2024 0:00,3.59,12847,Brazil,0.05,Local Payment,3,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F018,CLEMENTINE,1,9/14/2024 0:00,2.02,12847,Brazil,0.1,Local Payment,328,Citrus,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F005,PAPAYA (RED),66,9/14/2024 0:00,5.76,12847,Brazil,0.05,Local Payment,7.28,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F006,KIWI (GREEN),32,9/14/2024 0:00,3.75,12847,Brazil,0.02,Local Payment,3.51,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F013,LIME (KEY),38,9/14/2024 0:00,1.66,12847,Brazil,0,Local Payment,3.18,Citrus,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F010,GUAVA (PINK),54,9/14/2024 0:00,5.52,12847,Brazil,0.05,Local Payment,9.47,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F005,PAPAYA (RED),50,9/14/2024 0:00,6.07,12847,Brazil,0.02,Local Payment,7.95,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F005,PAPAYA (RED),50,9/14/2024 0:00,5.18,12847,Brazil,0.04,Local Payment,4.13,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F002,PINEAPPLE (HAWAIIAN),32,9/14/2024 0:00,7.22,12847,Brazil,0.1,Local Payment,4.78,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F010,GUAVA (PINK),35,9/14/2024 0:00,4.09,12847,Brazil,0.02,Local Payment,3.25,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F003,MANGO (ALPHONSO),62,9/14/2024 0:00,3.78,12847,Brazil,0.04,Local Payment,6.52,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F002,PINEAPPLE (HAWAIIAN),71,9/14/2024 0:00,3.78,12847,Brazil,0.01,Local Payment,6.09,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F040,LOQUAT,39,9/14/2024 0:00,2.6,12847,Brazil,0.03,Local Payment,6.53,Stone Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F002,PINEAPPLE (HAWAIIAN),65,9/14/2024 0:00,4.88,12847,Brazil,0.03,Local Payment,9.67,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F002,PINEAPPLE (HAWAIIAN),73,9/14/2024 0:00,5.03,12847,Brazil,0.05,Local Payment,11.01,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F001,BANANA (ORGANIC),38,9/14/2024 0:00,6.23,12847,Brazil,0.03,Local Payment,3.26,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F001,BANANA (ORGANIC),38,9/14/2024 0:00,6.34,12847,Brazil,0.01,Local Payment,5.44,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F037,FIGS (BLACK),11,9/14/2024 0:00,4.53,12847,Brazil,0.04,Local Payment,8.94,Stone Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F007,STAR FRUIT,39,9/14/2024 0:00,4.4,12847,Brazil,0.1,Local Payment,8.26,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F007,STAR FRUIT,38,9/14/2024 0:00,3.67,12847,Brazil,0.02,Local Payment,8.6,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F008,DRAGON FRUIT,66,9/14/2024 0:00,3.7,12847,Brazil,0.01,Local Payment,3.92,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F003,MANGO (ALPHONSO),65,9/14/2024 0:00,4.68,12847,Brazil,0.05,Local Payment,8.13,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F006,KIWI (GREEN),35,9/14/2024 0:00,4.66,12847,Brazil,0.05,Local Payment,9.07,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F023,RASPBERRIES (HALF PINT),29,9/14/2024 0:00,5.69,12847,Brazil,0.05,Local Payment,4.54,Berries,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F006,KIWI (GREEN),37,9/14/2024 0:00,3.46,12847,Brazil,0.01,Local Payment,5.75,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F010,GUAVA (PINK),62,9/14/2024 0:00,7.8,12847,Brazil,0.04,Local Payment,3.83,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F015,TANGERINE (HONEY),20,9/14/2024 0:00,1.94,12847,Brazil,0.03,Local Payment,4.55,Citrus,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F031,PEACHES (FREESTONE),21,9/14/2024 0:00,4.93,12847,Brazil,0.02,Local Payment,4.6,Stone Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F004,COCONUT (YOUNG),40,9/14/2024 0:00,4.47,12847,Brazil,0.05,Local Payment,8.79,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,V049,CARROTS (BABY),1,9/14/2024 0:00,2.4,12847,Brazil,0.15,Local Payment,329.09,Vegetables,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F015,TANGERINE (HONEY),15,9/14/2024 0:00,1.97,12847,Brazil,0.03,Local Payment,6.11,Citrus,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F010,GUAVA (PINK),56,9/14/2024 0:00,7.14,12847,Brazil,0.05,Local Payment,5.99,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F002,PINEAPPLE (HAWAIIAN),57,9/14/2024 0:00,3.28,12847,Brazil,0.05,Local Payment,10.41,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F010,GUAVA (PINK),28,9/14/2024 0:00,4.29,12847,Brazil,0,Local Payment,4.76,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F001,BANANA (ORGANIC),65,9/14/2024 0:00,5.36,12847,Brazil,0.05,Local Payment,9.16,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F002,PINEAPPLE (HAWAIIAN),41,9/14/2024 0:00,4.5,12847,Brazil,0.03,Local Payment,8.91,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F008,DRAGON FRUIT,53,9/14/2024 0:00,7.78,12847,Brazil,0.04,Local Payment,4.32,Tropical Fruit,Distributor,,RodoLogistics,SA1 (Brazil),Medium
I536007,F014,GRAPEFRUIT (RUBY RED),1,9/14/2024 0:00,0.87,12847,Brazil,0.15,Local Payment,307.37,Citrus,Distributor,,RodoLogistics,SA1 (Brazil),Medium
